Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Owner,Seller Type,Engine,Drivetrain,Seating Capacity,Fuel Tank Capacity
Maruti Suzuki,Celerio ZXi AMT [2019-2020],8677.25,2016,11471,Petrol,Automatic,Bangalore,First,Individual,998.0,FWD,5.0,35.0
Maruti Suzuki,Alto 800 LXi (O),6847.25,2019,3583,Petrol,Manual,Bangalore,First,Individual,796.0,FWD,5.0,35.0
Maruti Suzuki,Baleno Alpha Automatic,13648.73475,2018,21365,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,5.0,37.0
Maruti Suzuki,Wagon R ZXi 1.2 AMT,10659.75,2020,30777,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,5.0,32.0
Hyundai,Creta 1.6 E Petrol,11285.0,2016,60125,Petrol,Manual,Delhi,First,Individual,1591.0,FWD,5.0,60.0
Maruti Suzuki,S-Presso VXi AMT,7167.5,2020,2169,Petrol,Automatic,Mumbai,First,Individual,998.0,FWD,5.0,27.0
Volkswagen,Vento Comfortline Petrol AT,11666.25,2015,60240,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,5.0,55.0
Hyundai,Santro Sportz AMT [2018-2020],8982.25,2018,13772,Petrol,Automatic,Bangalore,First,Individual,1086.0,FWD,5.0,35.0
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],15234.75,2019,27464,Petrol,Manual,Bangalore,First,Individual,998.0,FWD,5.0,45.0
Maruti Suzuki,Ritz Zxi BS-IV,4956.25,2013,23086,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,43.0
Hyundai,Creta 1.6 SX Plus Petrol,17918.75,2019,36313,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,5.0,60.0
Honda,Brio V MT,5352.75,2014,39276,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,5.0,35.0
Hyundai,Elite i20 Asta 1.2,8402.75,2015,47752,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,45.0
Honda,WR-V VX MT Petrol,12504.98475,2018,27963,Petrol,Manual,Delhi,First,Individual,1199.0,FWD,5.0,40.0
Hyundai,Venue SX 1.0 Turbo iMT,15097.5,2020,24013,Petrol,Manual,Mumbai,First,Individual,998.0,FWD,5.0,45.0
Hyundai,Creta 1.6 SX Plus AT,14106.25,2016,66000,Diesel,Automatic,Raipur,First,Individual,1582.0,FWD,5.0,60.0
Ford,Ecosport Titanium+ 1.0L EcoBoost,8158.75,2015,28000,Petrol,Manual,Mumbai,First,Individual,999.0,FWD,5.0,52.0
Hyundai,Santro GL (CNG),2211.25,2009,72000,CNG,Manual,Kanpur,Second,Individual,1086.0,FWD,5.0,35.0
Tata,Tiago Revotron XE [2016-2019],6237.25,2018,27069,Petrol,Manual,Mumbai,First,Individual,1199.0,FWD,5.0,35.0
Tata,Tigor Revotorq XT,7472.5,2018,43000,Diesel,Manual,Patna,First,Individual,1047.0,FWD,5.0,35.0
Mercedes-Benz,GLC 220 d Progressive,58712.5,2017,45600,Diesel,Automatic,Mumbai,Second,Individual,2143.0,AWD,5.0,66.0
Hyundai,Creta SX 1.6 CRDi (O),17156.25,2018,60000,Diesel,Manual,Patna,First,Individual,1582.0,FWD,5.0,55.0
Mercedes-Benz,M-Class ML 250 CDI,35075.0,2014,105101,Diesel,Automatic,Vadodara,First,Individual,2143.0,AWD,5.0,70.0
Toyota,Corolla Altis VL AT Petrol,16698.75,2016,45000,Petrol,Automatic,Mumbai,First,Individual,1798.0,FWD,5.0,55.0
Audi,A4 2.0 TDI (177bhp) Premium Plus,24018.75,2013,66000,Diesel,Automatic,Hyderabad,First,Individual,1968.0,FWD,5.0,63.0
Hyundai,Elite i20 Asta 1.2,8006.25,2015,68397,Petrol,Manual,Patna,First,Individual,1197.0,FWD,5.0,45.0
Maruti Suzuki,Baleno Delta 1.2,9226.25,2019,27469,Petrol,Manual,Delhi,First,Individual,1197.0,FWD,5.0,37.0
Maruti Suzuki,Celerio VXi AMT,6283.0,2016,41058,Petrol,Automatic,Delhi,First,Individual,998.0,FWD,5.0,35.0
Maruti Suzuki,Ciaz VDi SHVS,9531.25,2016,51330,Diesel,Manual,Mumbai,First,Individual,1248.0,FWD,5.0,43.0
Maruti Suzuki,Ciaz VXi,7792.75,2015,45969,Petrol,Manual,Mumbai,First,Individual,1373.0,FWD,5.0,43.0
Hyundai,Creta SX Plus 1.6 AT CRDI,17537.5,2017,66602,Diesel,Automatic,Mumbai,First,Individual,1582.0,FWD,5.0,60.0
Hyundai,Creta SX Plus 1.6  Petrol,13496.25,2016,57983,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,5.0,60.0
Renault,Kwid 1.0 RXT AMT Opt,7167.5,2019,11183,Petrol,Automatic,Mumbai,First,Individual,999.0,FWD,5.0,28.0
MG,Hector Sharp 2.0 Diesel [2019-2020],24567.75,2019,46301,Diesel,Manual,Mumbai,First,Individual,1956.0,FWD,5.0,60.0
Tata,Tiago Revotron XZA [2017-2019],7243.75,2017,34867,Petrol,Automatic,Mumbai,Second,Individual,1199.0,FWD,5.0,35.0
BMW,X3 xDrive 20d Luxury Line [2018-2020],57950.0,2018,9512,Diesel,Automatic,Mumbai,First,Corporate,1995.0,AWD,5.0,67.0
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,37743.75,2020,11293,Diesel,Automatic,Mumbai,First,Individual,1956.0,AWD,5.0,60.0
Honda,Brio S MT,6710.0,2016,50374,Petrol,Manual,Vadodara,First,Individual,1198.0,FWD,5.0,35.0
BMW,3-Series 320i Luxury Line,42700.0,2017,15900,Petrol,Automatic,Delhi,First,Individual,1998.0,RWD,5.0,57.0
Honda,City V Petrol [2017-2019],9836.25,2017,64000,Petrol,Manual,Mumbai,First,Individual,1497.0,FWD,5.0,40.0
Volkswagen,Polo Highline1.2L (D),5566.25,2013,78000,Diesel,Manual,Jaipur,First,Individual,1199.0,FWD,5.0,45.0
Maruti Suzuki,Vitara Brezza ZXi Plus,15936.23475,2021,24000,Petrol,Manual,Mumbai,First,Individual,1462.0,FWD,5.0,48.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],6938.75,2015,69700,Petrol,Automatic,Mumbai,First,Individual,1197.0,FWD,5.0,43.0
BMW,X3 xDrive20d,27450.0,2012,74073,Diesel,Automatic,Hyderabad,First,Individual,1995.0,AWD,5.0,67.0
Honda,Civic 1.8S MT,2897.5,2006,130000,Petrol,Manual,Deoghar,Third,Individual,1799.0,FWD,5.0,50.0
Maruti Suzuki,Swift ZXi Plus AMT,11818.75,2021,24000,Petrol,Automatic,Agra,First,Individual,1197.0,FWD,5.0,37.0
Hyundai,Elite i20 Sportz 1.5 MT Diesel,12581.25,2021,43000,Diesel,Manual,Agra,First,Individual,1493.0,FWD,5.0,37.0
Audi,A3 35 TDI Technology + Sunroof,34312.5,2016,40500,Diesel,Automatic,Goa,First,Individual,1968.0,FWD,5.0,50.0
Honda,City V CVT Petrol [2017-2019],13191.25,2017,49013,Petrol,Automatic,Mumbai,First,Individual,1497.0,FWD,5.0,40.0
Ford,Figo Duratorq Diesel Titanium 1.4,4559.75,2013,64983,Diesel,Manual,Mumbai,First,Individual,1399.0,FWD,5.0,45.0
Honda,Jazz VX Petrol,8692.5,2017,92270,Petrol,Manual,Mumbai,First,Individual,1199.0,FWD,5.0,40.0
Volkswagen,Polo Highline1.2L (P),5871.25,2013,65000,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,5.0,45.0
Honda,Amaze 1.5 SX i-DTEC,5337.5,2014,110000,Diesel,Manual,Warangal,First,Individual,1498.0,FWD,5.0,35.0
Toyota,Camry 2.5L AT,35761.25,2017,47000,Petrol,Automatic,Delhi,First,Individual,2494.0,FWD,5.0,70.0
Mercedes-Benz,C-Class 250 CDI Elegance,16775.0,2011,51500,Diesel,Automatic,Hyderabad,Second,Individual,2143.0,RWD,5.0,66.0
Audi,Q3 35 TDI quattro Premium Plus,44225.0,2018,35000,Diesel,Automatic,Pune,First,Individual,1968.0,AWD,5.0,64.0
Maruti Suzuki,Baleno Sigma 1.2,8311.25,2017,61518,Petrol,Manual,Noida,First,Individual,1197.0,FWD,5.0,37.0
BMW,X1 sDrive20d xLine,45597.5,2018,34000,Diesel,Automatic,Delhi,First,Corporate,1995.0,RWD,5.0,63.0
Maruti Suzuki,Baleno Zeta 1.2,9378.75,2017,36058,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,37.0
Hyundai,Creta 1.6 SX Plus AT,13572.5,2016,88000,Diesel,Automatic,Ahmedabad,First,Individual,1582.0,FWD,5.0,60.0
Volkswagen,Vento Comfortline Petrol,6557.5,2015,98112,Petrol,Manual,Mumbai,First,Individual,1598.0,FWD,5.0,55.0
Mercedes-Benz,C-Class 220 BlueEfficiency,25162.5,2013,58000,Diesel,Automatic,Bangalore,First,Individual,2143.0,RWD,5.0,66.0
Toyota,Camry Hybrid,24384.75,2015,92355,Petrol,Automatic,Mumbai,First,Individual,2494.0,FWD,5.0,65.0
Maruti Suzuki,DZire VXi,10537.75,2019,16652,Petrol,Manual,Ahmedabad,First,Individual,1197.0,FWD,5.0,37.0
Nissan,Terrano XV D THP 110 PS,9912.5,2016,76584,Diesel,Manual,Mumbai,First,Individual,1461.0,FWD,5.0,50.0
Maruti Suzuki,Wagon R LXI CNG,6328.75,2015,42500,CNG,Manual,Mumbai,First,Individual,998.0,FWD,5.0,35.0
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],10202.25,2016,70000,Diesel,Manual,Mohali,First,Individual,1248.0,FWD,5.0,48.0
BMW,X5 xDrive30d Pure Experience (5 Seater),44987.5,2015,84700,Diesel,Automatic,Navi Mumbai,Second,Individual,2993.0,AWD,5.0,50.0
Hyundai,Elite i20 Magna 1.2,8006.25,2015,68766,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,45.0
Hyundai,Verna 1.6 VTVT SX,11437.5,2018,16339,Petrol,Manual,Kolkata,First,Individual,1591.0,FWD,5.0,43.0
Honda,Amaze 1.2 SX i-VTEC,6786.25,2016,63882,Petrol,Manual,Mumbai,First,Individual,1198.0,FWD,5.0,35.0
Toyota,Corolla Altis 1.8 G,7518.25,2012,28732,Petrol,Manual,Zirakpur,First,Individual,1798.0,FWD,5.0,55.0
Hyundai,Elite i20 Sportz 1.2 (O),9317.75,2017,51349,Petrol,Manual,Nagpur,First,Individual,1197.0,FWD,5.0,45.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],7243.75,2014,61866,Petrol,Automatic,Thane,First,Individual,1197.0,FWD,5.0,43.0
Hyundai,Creta SX Plus 1.6  Petrol,14106.25,2017,29401,Petrol,Manual,Mumbai,First,Individual,1591.0,FWD,5.0,60.0
Audi,A6 2.0 TDI Premium,20206.25,2012,98580,Diesel,Automatic,Goa,First,Individual,1968.0,FWD,5.0,65.0
BMW,X1 sDrive20d xLine,59475.0,2021,8000,Diesel,Automatic,Delhi,First,Individual,1995.0,RWD,5.0,63.0
Mahindra,XUV300 W8 (O) 1.5 Diesel,19809.75,2020,31348,Diesel,Manual,Bangalore,First,Individual,1497.0,FWD,5.0,42.0
Maruti Suzuki,Swift ZDi Plus,8845.0,2018,28851,Diesel,Manual,Kolkata,First,Corporate,1248.0,FWD,5.0,37.0
Honda,City 1.5 S MT,5718.75,2011,78000,Petrol,Manual,Pune,First,Individual,1497.0,FWD,5.0,42.0
Tata,Zest XM 75 PS Diesel,6481.25,2017,39000,Diesel,Manual,Ranchi,First,Commercial Registration,1248.0,FWD,5.0,44.0
Skoda,Rapid Ambition 1.6 MPI AT Plus,6481.25,2014,24000,Petrol,Automatic,Mumbai,Second,Individual,1598.0,FWD,5.0,55.0
Maruti Suzuki,Alto 800 Lxi,3812.5,2015,62000,Petrol,Manual,Kanpur,Second,Individual,796.0,FWD,5.0,35.0
Ford,Figo Duratorq Diesel ZXI 1.4,3583.75,2014,82000,Diesel,Manual,Ludhiana,Second,Individual,1399.0,FWD,5.0,45.0
Audi,A3 35 TDI Technology + Sunroof,46512.5,2020,40910,Diesel,Automatic,Bangalore,First,Individual,1968.0,FWD,5.0,50.0
Tata,Harrier XZ Plus,32711.25,2020,10290,Diesel,Manual,Bangalore,First,Individual,1956.0,FWD,5.0,50.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,18986.25,2021,10530,Petrol,Automatic,Bangalore,First,Individual,998.0,FWD,5.0,37.0
Hyundai,Elite i20 Asta 1.2,8372.25,2015,61900,Petrol,Manual,Gurgaon,First,Individual,1197.0,FWD,5.0,45.0
Volkswagen,Polo Highline1.2L (D),7396.23475,2013,78000,Diesel,Manual,Bangalore,Second,Individual,1199.0,FWD,5.0,45.0
Maruti Suzuki,Swift DZire VXI,6328.75,2014,57402,Petrol,Manual,Delhi,First,Individual,1197.0,FWD,5.0,42.0
Hyundai,Santro GL (CNG),3050.0,2013,57000,CNG,Manual,Kanpur,First,Individual,1086.0,FWD,5.0,35.0
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],5718.75,2015,87500,Petrol,Manual,Gurgaon,First,Individual,1197.0,FWD,5.0,43.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],28593.75,2022,18000,Petrol,Automatic,Delhi,First,Individual,1353.0,FWD,5.0,50.0
Audi,Q2 Premium Plus I 40 TFSI quattro,44987.5,2020,10700,Petrol,Automatic,Ahmedabad,First,Individual,1984.0,AWD,5.0,55.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,16012.5,2020,16282,Petrol,Automatic,Pune,First,Individual,998.0,FWD,5.0,37.0
Hyundai,Verna Fluidic 1.6 CRDi SX,7167.5,2013,66000,Diesel,Manual,Amritsar,Third,Individual,1582.0,FWD,5.0,43.0
Maruti Suzuki,Wagon R VXI,5261.25,2017,72019,Petrol,Manual,Ranchi,Second,Individual,998.0,FWD,5.0,35.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],7396.23475,2018,55221,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,43.0
Renault,Duster RXS 1.5 Petrol MT,13572.5,2020,23500,Petrol,Manual,Chennai,First,Individual,1498.0,FWD,5.0,50.0
Maruti Suzuki,Swift DZire VXI,4956.25,2012,68000,Petrol,Manual,Kanpur,Second,Individual,1197.0,FWD,5.0,42.0
Hyundai,Creta SX 1.6 AT Petrol,21197.5,2019,29096,Petrol,Automatic,Mumbai,First,Individual,1591.0,FWD,5.0,55.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],7014.98475,2016,61223,Petrol,Manual,Kanpur,First,Individual,1197.0,FWD,5.0,43.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],16393.75,2017,86000,Diesel,Manual,Ludhiana,First,Individual,1956.0,FWD,5.0,60.0
Hyundai,Verna EX 1.6 CRDi [2017-2018],7396.23475,2013,87000,Diesel,Manual,Ludhiana,First,Individual,1582.0,FWD,5.0,45.0
Hyundai,i20 Magna 1.2,5871.25,2013,79287,Petrol,Manual,Kanpur,First,Individual,1197.0,FWD,5.0,45.0
Audi,A6 35 TDI Matrix,59475.0,2018,48945,Diesel,Automatic,Goa,First,Corporate,1968.0,FWD,5.0,75.0
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],24018.75,2019,55000,Diesel,Manual,Lucknow,First,Individual,1493.0,FWD,5.0,50.0
Maruti Suzuki,Baleno Alpha 1.2,9988.75,2016,38779,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,37.0
Hyundai,Verna Fluidic 1.6 VTVT SX,10659.75,2017,67000,Petrol,Manual,Navi Mumbai,First,Individual,1591.0,FWD,5.0,43.0
Hyundai,Verna Fluidic 1.6 CRDi SX,6481.25,2012,70000,Diesel,Manual,Jalandhar,Second,Individual,1582.0,FWD,5.0,43.0
Hyundai,Xcent S 1.2 (O),7472.5,2015,23103,Petrol,Manual,Udupi,First,Individual,1197.0,FWD,5.0,43.0
Hyundai,Creta SX 1.6 AT Petrol,22493.75,2019,9576,Petrol,Automatic,Bangalore,First,Individual,1591.0,FWD,5.0,55.0
MG,Astor Sharp 1.5 CVT,26916.23475,2021,1942,Petrol,Automatic,Bangalore,First,Individual,1498.0,FWD,5.0,48.0
Honda,CR-V 2.4 AT,3812.5,2006,119300,Petrol,Automatic,Pune,Third,Individual,2354.0,AWD,5.0,58.0
Maruti Suzuki,Alto 800 Lxi,3736.25,2016,55000,Petrol,Manual,Faridabad,First,Individual,796.0,FWD,5.0,35.0
Renault,Duster 85 PS RxL,7472.5,2015,98000,Diesel,Manual,Jamshedpur,Second,Individual,1461.0,FWD,5.0,50.0
Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],8387.5,2017,61400,Petrol,Manual,Aurangabad,First,Individual,1197.0,FWD,5.0,43.0
Honda,City V,10293.75,2016,87693,Petrol,Manual,Pune,First,Individual,1497.0,FWD,5.0,40.0
Mercedes-Benz,C-Class C 200 Avantgarde,33931.25,2015,31000,Petrol,Automatic,Mumbai,First,Individual,1991.0,RWD,5.0,66.0
Hyundai,Elite i20 Asta 1.4 (O) CRDi,8540.0,2016,75210,Diesel,Manual,Ahmedabad,First,Individual,1396.0,FWD,5.0,40.0
Skoda,Fabia Elegance 1.6 MPI,3431.25,2012,69000,Petrol,Manual,Mumbai,First,Individual,1598.0,FWD,5.0,45.0
Skoda,Rapid 1.5 TDI CR Ambition Plus AT,7609.75,2014,88000,Diesel,Automatic,Pune,Second,Individual,1498.0,FWD,5.0,55.0
Kia,Sonet GTX Plus 1.0 DCT [2020-2021],16088.75,2020,15000,Petrol,Automatic,Kolkata,First,Individual,998.0,FWD,5.0,45.0
BMW,3-Series 320d Luxury Line,42318.75,2018,68189,Diesel,Automatic,Jaipur,First,Individual,1995.0,RWD,5.0,57.0
Mercedes-Benz,GLA 200 CDI Sport,25162.5,2015,75000,Diesel,Automatic,Faridabad,First,Individual,2143.0,FWD,5.0,50.0
Audi,A6 35 TDI Premium,22112.5,2014,33000,Diesel,Automatic,Faridabad,Second,Individual,1968.0,FWD,5.0,65.0
BMW,5-Series 520d Sedan,19062.5,2012,78000,Diesel,Automatic,Mohali,First,Individual,1995.0,RWD,5.0,50.0
Hyundai,Elite i20 Magna 1.2,8768.75,2015,67000,Petrol,Manual,Hyderabad,First,Individual,1197.0,FWD,5.0,45.0
Ford,Ecosport Titanium+ 1.5L TDCi,10659.75,2017,75000,Diesel,Manual,Mumbai,First,Individual,1498.0,FWD,5.0,52.0
Mercedes-Benz,C-Class C 250 d,42318.75,2016,48000,Diesel,Automatic,Delhi,First,Individual,2143.0,RWD,5.0,66.0
Maruti Suzuki,S-Presso VXi,6557.5,2020,5790,Petrol,Manual,Hyderabad,First,Individual,998.0,FWD,5.0,27.0
MG,Hector Sharp 2.0 Diesel Turbo MT,27145.0,2020,65433,Diesel,Manual,Lucknow,First,Individual,1956.0,FWD,5.0,60.0
Maruti Suzuki,Swift VDi BS-IV,4498.75,2011,87230,Diesel,Manual,Hyderabad,First,Individual,1248.0,FWD,5.0,43.0
Maruti Suzuki,Swift ZDi,7548.75,2017,38258,Diesel,Manual,Varanasi,Second,Individual,1248.0,FWD,5.0,37.0
Honda,City VX (O) MT,14868.75,2019,56881,Petrol,Manual,Lucknow,First,Individual,1497.0,FWD,5.0,40.0
Renault,Duster 110 PS RxL Diesel,6481.25,2014,72000,Diesel,Manual,Ludhiana,Second,Individual,1461.0,FWD,5.0,50.0
Audi,Q3 2.0 TDI quattro Premium,20587.5,2012,72000,Diesel,Automatic,Hyderabad,UnRegistered Car,Individual,1968.0,AWD,5.0,64.0
Volvo,V40 Cross Country D3,19062.5,2013,71141,Diesel,Automatic,Navi Mumbai,First,Individual,1984.0,FWD,5.0,60.0
Maruti Suzuki,Swift DZire VDI,8540.0,2013,37000,Diesel,Manual,Salem,First,Individual,1248.0,FWD,5.0,42.0
BMW,X5 xDrive 30d M Sport,45368.75,2015,86999,Diesel,Automatic,Mohali,First,Individual,2993.0,AWD,5.0,50.0
Honda,City 1.5 S AT,4498.75,2009,70200,Petrol,Automatic,Mumbai,Second,Individual,1497.0,FWD,5.0,42.0
Mercedes-Benz,C-Class 200 CGI,19825.0,2012,64800,Petrol,Automatic,Delhi,First,Individual,1796.0,RWD,5.0,66.0
Hyundai,Creta 1.6 SX Plus AT,14487.5,2016,73000,Diesel,Automatic,Dehradun,First,Individual,1582.0,FWD,5.0,60.0
Mercedes-Benz,M-Class ML 350 CDI,40900.5,2015,76345,Diesel,Automatic,Gurgaon,First,Individual,2997.0,AWD,5.0,70.0
Maruti Suzuki,Alto 800 Lxi,4361.5,2017,40564,Petrol,Manual,Jamshedpur,First,Individual,796.0,FWD,5.0,35.0
Hyundai,i20 Magna 1.4 CRDI,5185.0,2013,98500,Diesel,Manual,Chandigarh,First,Individual,1336.0,FWD,5.0,45.0
Skoda,Rapid Style AT,17156.25,2020,46807,Petrol,Automatic,Bangalore,First,Individual,999.0,FWD,5.0,55.0
Tata,Nexon XMA Petrol,8845.0,2018,81000,Petrol,Automatic,Valsad,First,Individual,1198.0,FWD,5.0,44.0
Maruti Suzuki,Swift DZire VXI,7548.75,2015,13716,Petrol,Manual,Pune,First,Individual,1197.0,FWD,5.0,42.0
Maruti Suzuki,Swift DZire ZDI,8387.5,2014,89000,Diesel,Manual,Chennai,First,Individual,1248.0,FWD,5.0,42.0
Kia,Sonet GTX Plus 1.5 AT [2020-2021],22646.25,2021,13000,Diesel,Automatic,Mumbai,First,Individual,1493.0,FWD,5.0,45.0
Skoda,Rapid Monte Carlo 1.6 MPI MT,13496.25,2018,38000,Petrol,Manual,Bangalore,First,Individual,1598.0,FWD,5.0,55.0
Hyundai,Grand i10 NIOS Magna AMT 1.2 Kappa VTVT,10903.75,2020,17000,Petrol,Automatic,Bangalore,First,Individual,1197.0,FWD,5.0,37.0
Hyundai,Creta SX Plus 1.6 AT CRDI,16012.5,2017,97000,Diesel,Automatic,Zirakpur,First,Corporate,1582.0,FWD,5.0,60.0
Honda,City 1.5 S MT,4498.75,2010,78000,Petrol,Manual,Zirakpur,First,Corporate,1497.0,FWD,5.0,42.0
Renault,Kwid RXT Opt,5718.75,2019,55000,Petrol,Manual,Varanasi,First,Individual,799.0,FWD,5.0,28.0
Audi,A6 2.0 TDI Premium,27068.75,2014,75000,Diesel,Automatic,Ahmedabad,First,Individual,1968.0,FWD,5.0,65.0
Honda,Brio EX MT,4956.25,2014,43037,Petrol,Manual,Haldwani,First,Individual,1198.0,FWD,5.0,35.0
Maruti Suzuki,Swift ZDi,6481.25,2013,26000,Diesel,Manual,Delhi,First,Individual,1248.0,FWD,5.0,42.0
Honda,Amaze VX CVT 1.2 Petrol,13252.25,2021,8700,Petrol,Automatic,Mangalore,First,Individual,1199.0,FWD,5.0,35.0
Jeep,Compass Longitude Plus 2.0 Diesel 4x4 AT,28975.0,2020,41736,Diesel,Automatic,Ahmedabad,First,Individual,1956.0,AWD,5.0,60.0
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],7930.0,2019,76000,CNG,Manual,Kanpur,First,Individual,998.0,FWD,5.0,60.0
Maruti Suzuki,Alto VXi (O),5947.5,2018,18000,Petrol,Manual,Lucknow,First,Individual,998.0,FWD,5.0,35.0
Maruti Suzuki,Ciaz VXi (O),8235.0,2015,38000,Petrol,Manual,Mumbai,First,Individual,1373.0,FWD,5.0,43.0
Maruti Suzuki,Swift VDi AMT [2018-2019],10659.75,2018,43000,Diesel,Automatic,Mumbai,First,Individual,1248.0,FWD,5.0,37.0
Hyundai,Verna Fluidic 1.6 CRDi SX,7396.23475,2013,107000,Diesel,Manual,Chandigarh,First,Individual,1582.0,FWD,5.0,43.0
Tata,Nexon XZA Plus Petrol,16546.25,2018,8922,Petrol,Automatic,Bangalore,First,Individual,1198.0,FWD,5.0,44.0
Maruti Suzuki,Alto 800 Vxi,4864.75,2013,47800,Petrol,Manual,Dharwad,First,Individual,796.0,FWD,5.0,35.0
Tata,Harrier XZ [2019-2020],26306.25,2019,68758,Diesel,Manual,Hyderabad,First,Individual,1956.0,FWD,5.0,50.0
Tata,Punch Creative iRA Pack MT,13572.5,2022,7500,Petrol,Manual,Mumbai,First,Individual,1199.0,FWD,5.0,37.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],6786.25,2016,22402,Petrol,Manual,Mumbai,First,Individual,1197.0,FWD,5.0,43.0
Honda,City V,16165.0,2019,12382,Petrol,Manual,Pune,First,Corporate,1497.0,FWD,5.0,40.0
Maruti Suzuki,Baleno Alpha 1.3,10522.5,2017,61000,Diesel,Manual,Surat,First,Individual,1248.0,FWD,5.0,37.0
BMW,X5 xDrive30d Pure Experience (5 Seater),44987.5,2015,84700,Diesel,Automatic,Pune,Second,Individual,2993.0,AWD,5.0,50.0
Renault,Kwid 1.0 RXT Edition,6023.75,2018,75500,Petrol,Manual,Raipur,First,Individual,999.0,FWD,5.0,28.0
BMW,X1 sDrive20d Expedition,42547.5,2018,25000,Diesel,Automatic,Chennai,First,Individual,1995.0,FWD,5.0,51.0
Audi,Q3 35 TDI quattro Premium Plus,37743.75,2018,38000,Diesel,Automatic,Delhi,First,Individual,1968.0,AWD,5.0,64.0
Maruti Suzuki,Wagon R LXi Minor,2211.25,2009,39586,Petrol,Manual,Ranchi,First,Individual,1061.0,FWD,5.0,35.0
Hyundai,Elite i20 Asta 1.2 AT,11437.5,2018,33647,Petrol,Automatic,Mumbai,First,Individual,1197.0,FWD,5.0,40.0
